condition,condition_label,initialization,mutation,seed,run_id,generation,best_search_fitness,wikitext2_ppl,stage2_candidate_evaluations_cumulative,stage2_evaluated_tokens_cumulative,total_candidate_evaluations_cumulative,total_evaluated_tokens_cumulative,stage2_runtime_minutes_cumulative,total_runtime_minutes_cumulative
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,46,0.666015625,11.46875,1274,2277376,1274,2277376,20.413403955691805,20.413403955691805
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,47,0.666015625,,1301,2326528,1301,2326528,20.619917798880486,20.619917798880486
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,48,0.6650390625,,1328,2375680,1328,2375680,20.827341452768692,20.827341452768692
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,49,0.66455078125,,1355,2424832,1355,2424832,21.03350687790662,21.03350687790662
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,50,0.66455078125,11.46875,1382,2473984,1382,2473984,21.244208626418065,21.244208626418065
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,1,1.2099609375,19.84375,59,65536,59,65536,1.9091905405434468,1.9091905405434468
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,2,1.2626953125,,86,114688,86,114688,2.1210356700854995,2.1210356700854995
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,3,1.21875,,113,163840,113,163840,2.3315147488377987,2.3315147488377987
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,4,1.126953125,,140,212992,140,212992,2.548436237809559,2.548436237809559
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,5,1.1181640625,,167,262144,167,262144,2.750969295048465,2.750969295048465
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,6,0.990234375,16.203125,194,311296,194,311296,3.9857209333529076,3.9857209333529076
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,7,0.962890625,,221,360448,221,360448,4.189062184871485,4.189062184871485
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,8,0.87451171875,,248,409600,248,409600,4.41430341595163,4.41430341595163
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,9,0.85986328125,,275,458752,275,458752,4.6281634228304025,4.6281634228304025
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,10,0.8603515625,,302,507904,302,507904,4.840672508409868,4.840672508409868
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,11,0.802734375,13.5625,329,557056,329,557056,6.08298668001468,6.08298668001468
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,12,0.80078125,,356,606208,356,606208,6.283491583013286,6.283491583013286
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,13,0.759765625,,383,655360,383,655360,6.475029673613608,6.475029673613608
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,14,0.70458984375,,410,704512,410,704512,6.687915205241492,6.687915205241492
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,15,0.7041015625,,437,753664,437,753664,6.893194540155431,6.893194540155431
