variant,seed,run_id,phase,generation,best_search_fitness,wikitext2_ppl,train_ppl,selected_parent_mutation_type,accepted_parent_replacement
p025,1,screen_jointaware_tiny_p025_g20_o8_seed1,generation,14,0.2386474609375,,,quantization,True
p025,1,screen_jointaware_tiny_p025_g20_o8_seed1,generation,15,0.234619140625,10.8984375,11.6484375,quantization,True
p025,1,screen_jointaware_tiny_p025_g20_o8_seed1,generation,16,0.249755859375,,,parent,False
p025,1,screen_jointaware_tiny_p025_g20_o8_seed1,generation,17,0.23291015625,10.8984375,11.625,quantization,True
p025,1,screen_jointaware_tiny_p025_g20_o8_seed1,generation,18,0.244873046875,,,quantization,True
p025,1,screen_jointaware_tiny_p025_g20_o8_seed1,generation,19,0.244873046875,10.875,11.6015625,parent,False
p025,1,screen_jointaware_tiny_p025_g20_o8_seed1,generation,20,0.2314453125,,,parent,False
p025,1,screen_jointaware_tiny_p025_g20_o8_seed1,final,20,0.2401123046875,10.875,11.6015625,,
p025,2,screen_jointaware_tiny_p025_g20_o8_seed2,generation,1,0.36865234375,12.28125,13.96875,quantization,True
p025,2,screen_jointaware_tiny_p025_g20_o8_seed2,generation,2,0.33154296875,,,quantization,True
p025,2,screen_jointaware_tiny_p025_g20_o8_seed2,generation,3,0.32958984375,12.2578125,13.9921875,quantization,True
p025,2,screen_jointaware_tiny_p025_g20_o8_seed2,generation,4,0.33984375,,,depth,True
p025,2,screen_jointaware_tiny_p025_g20_o8_seed2,generation,5,0.26953125,11.3515625,13.09375,depth,True
p025,2,screen_jointaware_tiny_p025_g20_o8_seed2,generation,6,0.244873046875,,,depth,True
p025,2,screen_jointaware_tiny_p025_g20_o8_seed2,generation,7,0.2410888671875,11.2421875,12.8203125,depth,True
p025,2,screen_jointaware_tiny_p025_g20_o8_seed2,generation,8,0.239501953125,,,parent,False
p025,2,screen_jointaware_tiny_p025_g20_o8_seed2,generation,9,0.239501953125,10.984375,12.6640625,quantization,True
p025,2,screen_jointaware_tiny_p025_g20_o8_seed2,generation,10,0.235107421875,,,parent,False
p025,2,screen_jointaware_tiny_p025_g20_o8_seed2,generation,11,0.2197265625,11.0078125,12.6953125,parent,False
p025,2,screen_jointaware_tiny_p025_g20_o8_seed2,generation,12,0.22509765625,,,quantization,True
p025,2,screen_jointaware_tiny_p025_g20_o8_seed2,generation,13,0.2318115234375,11.0078125,12.71875,parent,False
p025,2,screen_jointaware_tiny_p025_g20_o8_seed2,generation,14,0.21923828125,,,parent,False
p025,2,screen_jointaware_tiny_p025_g20_o8_seed2,generation,15,0.239501953125,11.0078125,12.71875,parent,False
p025,2,screen_jointaware_tiny_p025_g20_o8_seed2,generation,16,0.22705078125,,,parent,False
p025,2,screen_jointaware_tiny_p025_g20_o8_seed2,generation,17,0.239501953125,11.0078125,12.71875,parent,False
p025,2,screen_jointaware_tiny_p025_g20_o8_seed2,generation,18,0.224609375,,,parent,False
p025,2,screen_jointaware_tiny_p025_g20_o8_seed2,generation,19,0.2342529296875,11.0078125,12.71875,quantization,True
p025,2,screen_jointaware_tiny_p025_g20_o8_seed2,generation,20,0.226318359375,,,parent,False
p025,2,screen_jointaware_tiny_p025_g20_o8_seed2,final,20,0.229248046875,11.03125,12.6640625,,
