method,method_label,baseline,baseline_label,baseline_comparison_role,seed,method_wikitext2_ppl,baseline_wikitext2_ppl,delta_ppl_method_minus_baseline,relative_delta_percent,winner
seq_quant_to_joint_warm,Quantization → Joint warm + standard (G20),interaction_aware_g50,Interaction-aware joint G50,non-matched operator reference,1,12.1796875,11.1171875,1.0625,9.557273366127898,baseline
seq_quant_to_joint_warm,Quantization → Joint warm + standard (G20),interaction_aware_g50,Interaction-aware joint G50,non-matched operator reference,2,12.4921875,11.2421875,1.25,11.118832522585128,baseline
quantwarm_interaction_aware_g20,Quantization → Joint warm + interaction-aware (G20),depth_uniform,Depth + uniform 3-bit q_proj,target-matched composition baseline,0,12.3984375,11.99,0.4084374999999998,3.4064845704753943,baseline
quantwarm_interaction_aware_g20,Quantization → Joint warm + interaction-aware (G20),depth_uniform,Depth + uniform 3-bit q_proj,target-matched composition baseline,1,11.8046875,12.52,-0.7153124999999996,-5.7133586261980795,method
quantwarm_interaction_aware_g20,Quantization → Joint warm + interaction-aware (G20),depth_uniform,Depth + uniform 3-bit q_proj,target-matched composition baseline,2,11.3359375,11.35,-0.014062499999999645,-0.12389867841409379,method
quantwarm_interaction_aware_g20,Quantization → Joint warm + interaction-aware (G20),independent,Independent depth + searched q_proj quant,target-matched sequential composition baseline,0,12.3984375,11.97,0.42843749999999936,3.5792606516290673,baseline
quantwarm_interaction_aware_g20,Quantization → Joint warm + interaction-aware (G20),independent,Independent depth + searched q_proj quant,target-matched sequential composition baseline,1,11.8046875,12.52,-0.7153124999999996,-5.7133586261980795,method
quantwarm_interaction_aware_g20,Quantization → Joint warm + interaction-aware (G20),independent,Independent depth + searched q_proj quant,target-matched sequential composition baseline,2,11.3359375,11.35,-0.014062499999999645,-0.12389867841409379,method
quantwarm_interaction_aware_g20,Quantization → Joint warm + interaction-aware (G20),joint_g20,Standard-init + standard mutation (G20),standard-initialization standard-mutation G20 control,0,12.3984375,13.3828125,-0.984375,-7.355516637478108,method
quantwarm_interaction_aware_g20,Quantization → Joint warm + interaction-aware (G20),joint_g20,Standard-init + standard mutation (G20),standard-initialization standard-mutation G20 control,1,11.8046875,12.28125,-0.4765625,-3.880407124681934,method
quantwarm_interaction_aware_g20,Quantization → Joint warm + interaction-aware (G20),joint_g20,Standard-init + standard mutation (G20),standard-initialization standard-mutation G20 control,2,11.3359375,12.15625,-0.8203125,-6.748071979434448,method
quantwarm_interaction_aware_g20,Quantization → Joint warm + interaction-aware (G20),joint_g50,Standard joint G50,larger single-search compute reference,0,12.3984375,11.46875,0.9296875,8.106267029972752,baseline
quantwarm_interaction_aware_g20,Quantization → Joint warm + interaction-aware (G20),joint_g50,Standard joint G50,larger single-search compute reference,1,11.8046875,10.921875,0.8828125,8.082975679542203,baseline
quantwarm_interaction_aware_g20,Quantization → Joint warm + interaction-aware (G20),joint_g50,Standard joint G50,larger single-search compute reference,2,11.3359375,11.3359375,0.0,0.0,tie
quantwarm_interaction_aware_g20,Quantization → Joint warm + interaction-aware (G20),interaction_aware_g50,Interaction-aware joint G50,non-matched operator reference,0,12.3984375,10.8984375,1.5,13.763440860215054,baseline
quantwarm_interaction_aware_g20,Quantization → Joint warm + interaction-aware (G20),interaction_aware_g50,Interaction-aware joint G50,non-matched operator reference,1,11.8046875,11.1171875,0.6875,6.184118060435699,baseline
quantwarm_interaction_aware_g20,Quantization → Joint warm + interaction-aware (G20),interaction_aware_g50,Interaction-aware joint G50,non-matched operator reference,2,11.3359375,11.2421875,0.09375,0.8339124391938847,baseline
quantwarm_interaction_aware_g20,Quantization → Joint warm + interaction-aware (G20),interaction_aware_g20,Standard-init + interaction-aware (G20),matched standard-initialization interaction-aware G20 control,0,12.3984375,11.625,0.7734375,6.653225806451613,baseline
quantwarm_interaction_aware_g20,Quantization → Joint warm + interaction-aware (G20),interaction_aware_g20,Standard-init + interaction-aware (G20),matched standard-initialization interaction-aware G20 control,1,11.8046875,12.640625,-0.8359375,-6.61310259579728,method
quantwarm_interaction_aware_g20,Quantization → Joint warm + interaction-aware (G20),interaction_aware_g20,Standard-init + interaction-aware (G20),matched standard-initialization interaction-aware G20 control,2,11.3359375,12.1328125,-0.796875,-6.567933032839665,method
quantwarm_interaction_aware_g20,Quantization → Joint warm + interaction-aware (G20),seq_quant_to_joint_warm,Quantization → Joint warm + standard (G20),quantization warm start with standard mutation,0,12.3984375,13.046875,-0.6484375,-4.970059880239521,method
quantwarm_interaction_aware_g20,Quantization → Joint warm + interaction-aware (G20),seq_quant_to_joint_warm,Quantization → Joint warm + standard (G20),quantization warm start with standard mutation,1,11.8046875,12.1796875,-0.375,-3.078896728672226,method
quantwarm_interaction_aware_g20,Quantization → Joint warm + interaction-aware (G20),seq_quant_to_joint_warm,Quantization → Joint warm + standard (G20),quantization warm start with standard mutation,2,11.3359375,12.4921875,-1.15625,-9.255784865540964,method
interaction_aware_g20,Standard-init + interaction-aware (G20),joint_g20,Standard-init + standard mutation (G20),standard-initialization standard-mutation G20 control,0,11.625,13.3828125,-1.7578125,-13.134851138353765,method
interaction_aware_g20,Standard-init + interaction-aware (G20),joint_g20,Standard-init + standard mutation (G20),standard-initialization standard-mutation G20 control,1,12.640625,12.28125,0.359375,2.926208651399491,baseline
interaction_aware_g20,Standard-init + interaction-aware (G20),joint_g20,Standard-init + standard mutation (G20),standard-initialization standard-mutation G20 control,2,12.1328125,12.15625,-0.0234375,-0.1928020565552699,method
depthwarm_interaction_aware_g50,Depth → Joint warm + interaction-aware (G50),interaction_aware_g50,Interaction-aware joint G50,non-matched operator reference,0,10.984375,10.8984375,0.0859375,0.7885304659498208,baseline
depthwarm_interaction_aware_g50,Depth → Joint warm + interaction-aware (G50),interaction_aware_g50,Interaction-aware joint G50,non-matched operator reference,1,11.375,11.1171875,0.2578125,2.3190442726633873,baseline
depthwarm_interaction_aware_g50,Depth → Joint warm + interaction-aware (G50),interaction_aware_g50,Interaction-aware joint G50,non-matched operator reference,2,11.15625,11.2421875,-0.0859375,-0.7644197359277276,method
