variant,seed,run_id,phase,generation,best_search_fitness,wikitext2_ppl,train_ppl,mutation_strength,selected_parent_mutation_type,accepted_parent_replacement
baseline,1,screen_jointaware_tiny_p0_g20_o8_seed1,generation,2,0.5830078125,,,1,parent,False
baseline,1,screen_jointaware_tiny_p0_g20_o8_seed1,generation,3,0.46240234375,14.328125,15.609375,1,depth,True
baseline,1,screen_jointaware_tiny_p0_g20_o8_seed1,generation,4,0.51220703125,,,1,depth,True
baseline,1,screen_jointaware_tiny_p0_g20_o8_seed1,generation,5,0.439453125,13.7265625,14.46875,1,parent,False
baseline,1,screen_jointaware_tiny_p0_g20_o8_seed1,generation,6,0.439453125,,,1,quantization,True
baseline,1,screen_jointaware_tiny_p0_g20_o8_seed1,generation,7,0.464599609375,13.7265625,14.46875,1,depth,True
baseline,1,screen_jointaware_tiny_p0_g20_o8_seed1,generation,8,0.47314453125,,,1,depth,True
baseline,1,screen_jointaware_tiny_p0_g20_o8_seed1,generation,9,0.39111328125,12.2578125,13.3046875,1,depth,True
baseline,1,screen_jointaware_tiny_p0_g20_o8_seed1,generation,10,0.330078125,,,1,depth,True
baseline,1,screen_jointaware_tiny_p0_g20_o8_seed1,generation,11,0.25146484375,10.9609375,11.578125,1,parent,False
baseline,1,screen_jointaware_tiny_p0_g20_o8_seed1,generation,12,0.237548828125,,,1,quantization,True
baseline,1,screen_jointaware_tiny_p0_g20_o8_seed1,generation,13,0.247314453125,10.9453125,11.5546875,1,quantization,True
baseline,1,screen_jointaware_tiny_p0_g20_o8_seed1,generation,14,0.248779296875,,,1,quantization,True
baseline,1,screen_jointaware_tiny_p0_g20_o8_seed1,generation,15,0.2369384765625,10.9453125,11.5546875,1,parent,False
baseline,1,screen_jointaware_tiny_p0_g20_o8_seed1,generation,16,0.2578125,,,1,parent,False
baseline,1,screen_jointaware_tiny_p0_g20_o8_seed1,generation,17,0.2369384765625,10.9453125,11.5546875,1,parent,False
baseline,1,screen_jointaware_tiny_p0_g20_o8_seed1,generation,18,0.2396240234375,,,1,quantization,True
baseline,1,screen_jointaware_tiny_p0_g20_o8_seed1,generation,19,0.2386474609375,10.921875,11.578125,1,parent,False
baseline,1,screen_jointaware_tiny_p0_g20_o8_seed1,generation,20,0.248779296875,,,1,depth,True
baseline,1,screen_jointaware_tiny_p0_g20_o8_seed1,final,20,0.2423095703125,10.9609375,11.625,,,
baseline,2,screen_jointaware_tiny_p0_g20_o8_seed2,generation,1,0.36865234375,12.28125,13.96875,1,parent,False
baseline,2,screen_jointaware_tiny_p0_g20_o8_seed2,generation,2,0.3056640625,,,1,parent,False
baseline,2,screen_jointaware_tiny_p0_g20_o8_seed2,generation,3,0.32177734375,12.28125,13.96875,1,parent,False
baseline,2,screen_jointaware_tiny_p0_g20_o8_seed2,generation,4,0.32177734375,,,1,depth,True
baseline,2,screen_jointaware_tiny_p0_g20_o8_seed2,generation,5,0.30859375,13.3515625,14.4140625,1,quantization,True
baseline,2,screen_jointaware_tiny_p0_g20_o8_seed2,generation,6,0.358154296875,,,1,depth,True
baseline,2,screen_jointaware_tiny_p0_g20_o8_seed2,generation,7,0.2900390625,11.96875,13.3515625,1,parent,False
baseline,2,screen_jointaware_tiny_p0_g20_o8_seed2,generation,8,0.318603515625,,,1,depth,True
baseline,2,screen_jointaware_tiny_p0_g20_o8_seed2,generation,9,0.28271484375,11.9453125,13.171875,1,parent,False
baseline,2,screen_jointaware_tiny_p0_g20_o8_seed2,generation,10,0.261474609375,,,1,parent,False
baseline,2,screen_jointaware_tiny_p0_g20_o8_seed2,generation,11,0.282470703125,11.9453125,13.171875,1,quantization,True
baseline,2,screen_jointaware_tiny_p0_g20_o8_seed2,generation,12,0.2607421875,,,1,quantization,True
baseline,2,screen_jointaware_tiny_p0_g20_o8_seed2,generation,13,0.26025390625,11.921875,13.1953125,1,depth,True
baseline,2,screen_jointaware_tiny_p0_g20_o8_seed2,generation,14,0.249755859375,,,1,parent,False
baseline,2,screen_jointaware_tiny_p0_g20_o8_seed2,generation,15,0.278564453125,11.578125,13.1953125,1,quantization,True
baseline,2,screen_jointaware_tiny_p0_g20_o8_seed2,generation,16,0.2744140625,,,1,parent,False
baseline,2,screen_jointaware_tiny_p0_g20_o8_seed2,generation,17,0.2744140625,11.5078125,13.1171875,1,quantization,True
baseline,2,screen_jointaware_tiny_p0_g20_o8_seed2,generation,18,0.274169921875,,,1,quantization,True
baseline,2,screen_jointaware_tiny_p0_g20_o8_seed2,generation,19,0.28076171875,11.4921875,13.09375,1,quantization,True
baseline,2,screen_jointaware_tiny_p0_g20_o8_seed2,generation,20,0.240478515625,,,1,quantization,True
baseline,2,screen_jointaware_tiny_p0_g20_o8_seed2,final,20,0.25927734375,11.4921875,13.046875,,,
adaptive,0,screen_adaptive_tiny_pat3_max3_g20_o8_seed0,generation,1,0.322021484375,12.9140625,14.1328125,1,depth,True
adaptive,0,screen_adaptive_tiny_pat3_max3_g20_o8_seed0,generation,2,0.43408203125,,,1,depth,True
adaptive,0,screen_adaptive_tiny_pat3_max3_g20_o8_seed0,generation,3,0.37646484375,12.4453125,13.5390625,1,parent,False
adaptive,0,screen_adaptive_tiny_pat3_max3_g20_o8_seed0,generation,4,0.32275390625,,,1,depth,True
adaptive,0,screen_adaptive_tiny_pat3_max3_g20_o8_seed0,generation,5,0.24560546875,11.2890625,12.4453125,1,quantization,True
adaptive,0,screen_adaptive_tiny_pat3_max3_g20_o8_seed0,generation,6,0.2476806640625,,,1,parent,False
adaptive,0,screen_adaptive_tiny_pat3_max3_g20_o8_seed0,generation,7,0.207275390625,11.2890625,12.4453125,1,parent,False
adaptive,0,screen_adaptive_tiny_pat3_max3_g20_o8_seed0,generation,8,0.2474365234375,,,1,quantization,True
adaptive,0,screen_adaptive_tiny_pat3_max3_g20_o8_seed0,generation,9,0.245361328125,11.2890625,12.421875,1,quantization,True
adaptive,0,screen_adaptive_tiny_pat3_max3_g20_o8_seed0,generation,10,0.243896484375,,,1,parent,False
adaptive,0,screen_adaptive_tiny_pat3_max3_g20_o8_seed0,generation,11,0.2454833984375,11.2890625,12.421875,1,depth,True
adaptive,0,screen_adaptive_tiny_pat3_max3_g20_o8_seed0,generation,12,0.18603515625,,,1,parent,False
adaptive,0,screen_adaptive_tiny_pat3_max3_g20_o8_seed0,generation,13,0.21875,10.875,11.9453125,1,parent,False
adaptive,0,screen_adaptive_tiny_pat3_max3_g20_o8_seed0,generation,14,0.223388671875,,,1,quantization,True
adaptive,0,screen_adaptive_tiny_pat3_max3_g20_o8_seed0,generation,15,0.18603515625,10.875,11.9453125,1,parent,False
adaptive,0,screen_adaptive_tiny_pat3_max3_g20_o8_seed0,generation,16,0.22607421875,,,1,quantization,True
adaptive,0,screen_adaptive_tiny_pat3_max3_g20_o8_seed0,generation,17,0.223876953125,10.875,11.9453125,1,quantization,True
adaptive,0,screen_adaptive_tiny_pat3_max3_g20_o8_seed0,generation,18,0.224609375,,,1,parent,False
adaptive,0,screen_adaptive_tiny_pat3_max3_g20_o8_seed0,generation,19,0.2191162109375,10.8984375,11.921875,1,quantization,True
adaptive,0,screen_adaptive_tiny_pat3_max3_g20_o8_seed0,generation,20,0.22265625,,,1,parent,False
adaptive,0,screen_adaptive_tiny_pat3_max3_g20_o8_seed0,final,20,0.222900390625,10.921875,11.921875,,,
adaptive,1,screen_adaptive_tiny_pat3_max3_g20_o8_seed1,generation,1,0.464599609375,14.328125,15.609375,1,quantization,True
adaptive,1,screen_adaptive_tiny_pat3_max3_g20_o8_seed1,generation,2,0.55810546875,,,1,parent,False
adaptive,1,screen_adaptive_tiny_pat3_max3_g20_o8_seed1,generation,3,0.4462890625,14.296875,15.5546875,1,depth,True
adaptive,1,screen_adaptive_tiny_pat3_max3_g20_o8_seed1,generation,4,0.4189453125,,,1,depth,True
adaptive,1,screen_adaptive_tiny_pat3_max3_g20_o8_seed1,generation,5,0.3935546875,12.84375,14.2421875,1,quantization,True
adaptive,1,screen_adaptive_tiny_pat3_max3_g20_o8_seed1,generation,6,0.4638671875,,,1,parent,False
adaptive,1,screen_adaptive_tiny_pat3_max3_g20_o8_seed1,generation,7,0.40478515625,12.84375,14.2421875,1,quantization,True
adaptive,1,screen_adaptive_tiny_pat3_max3_g20_o8_seed1,generation,8,0.404541015625,,,1,parent,False
adaptive,1,screen_adaptive_tiny_pat3_max3_g20_o8_seed1,generation,9,0.46435546875,12.8671875,14.2734375,1,depth,True
adaptive,1,screen_adaptive_tiny_pat3_max3_g20_o8_seed1,generation,10,0.42529296875,,,1,depth,True
adaptive,1,screen_adaptive_tiny_pat3_max3_g20_o8_seed1,generation,11,0.3427734375,12.28125,13.1953125,1,parent,False
adaptive,1,screen_adaptive_tiny_pat3_max3_g20_o8_seed1,generation,12,0.3427734375,,,1,depth,True
adaptive,1,screen_adaptive_tiny_pat3_max3_g20_o8_seed1,generation,13,0.3916015625,12.3515625,13.3828125,1,depth,True
adaptive,1,screen_adaptive_tiny_pat3_max3_g20_o8_seed1,generation,14,0.347412109375,,,1,parent,False
adaptive,1,screen_adaptive_tiny_pat3_max3_g20_o8_seed1,generation,15,0.33349609375,11.6953125,12.8671875,1,quantization,True
adaptive,1,screen_adaptive_tiny_pat3_max3_g20_o8_seed1,generation,16,0.33056640625,,,1,depth,True
adaptive,1,screen_adaptive_tiny_pat3_max3_g20_o8_seed1,generation,17,0.322265625,11.578125,12.46875,1,depth,True
adaptive,1,screen_adaptive_tiny_pat3_max3_g20_o8_seed1,generation,18,0.265625,,,1,quantization,True
adaptive,1,screen_adaptive_tiny_pat3_max3_g20_o8_seed1,generation,19,0.27734375,11.3359375,12.5703125,1,depth,True
adaptive,1,screen_adaptive_tiny_pat3_max3_g20_o8_seed1,generation,20,0.266357421875,,,1,parent,False
adaptive,1,screen_adaptive_tiny_pat3_max3_g20_o8_seed1,final,20,0.253662109375,11.03125,11.875,,,
adaptive,2,screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,1,0.36865234375,12.28125,13.96875,1,depth,True
adaptive,2,screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,2,0.31884765625,,,1,depth,True
adaptive,2,screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,3,0.236083984375,11.0078125,12.6640625,1,parent,False
adaptive,2,screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,4,0.236083984375,,,1,quantization,True
adaptive,2,screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,5,0.23388671875,11.0078125,12.640625,1,parent,False
adaptive,2,screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,6,0.219482421875,,,1,quantization,True
adaptive,2,screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,7,0.219482421875,11.0078125,12.640625,1,quantization,True
adaptive,2,screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,8,0.238525390625,,,1,parent,False
adaptive,2,screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,9,0.219970703125,11.0078125,12.640625,1,quantization,True
adaptive,2,screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,10,0.21923828125,,,1,parent,False
adaptive,2,screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,11,0.2333984375,11.0078125,12.6640625,1,quantization,True
adaptive,2,screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,12,0.234619140625,,,1,parent,False
adaptive,2,screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,13,0.23876953125,11.0078125,12.6640625,1,parent,False
adaptive,2,screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,14,0.22314453125,,,1,parent,False
adaptive,2,screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,15,0.234619140625,11.0078125,12.6640625,2,parent,False
adaptive,2,screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,16,0.225830078125,,,2,parent,False
adaptive,2,screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,17,0.2191162109375,11.0078125,12.6640625,2,parent,False
adaptive,2,screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,18,0.22314453125,,,3,parent,False
adaptive,2,screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,19,0.23876953125,11.0078125,12.6640625,3,parent,False
adaptive,2,screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,20,0.23876953125,,,3,parent,False
adaptive,2,screen_adaptive_tiny_pat3_max3_g20_o8_seed2,final,20,0.2288818359375,11.0078125,12.6640625,,,
fixed,0,screen_fixedstrength_tiny_max1_g20_o8_seed0,generation,1,0.322021484375,12.9140625,14.1328125,1,depth,True
fixed,0,screen_fixedstrength_tiny_max1_g20_o8_seed0,generation,2,0.43408203125,,,1,depth,True
fixed,0,screen_fixedstrength_tiny_max1_g20_o8_seed0,generation,3,0.37646484375,12.4453125,13.5390625,1,parent,False
fixed,0,screen_fixedstrength_tiny_max1_g20_o8_seed0,generation,4,0.32275390625,,,1,depth,True
fixed,0,screen_fixedstrength_tiny_max1_g20_o8_seed0,generation,5,0.24560546875,11.2890625,12.4453125,1,quantization,True
fixed,0,screen_fixedstrength_tiny_max1_g20_o8_seed0,generation,6,0.2476806640625,,,1,parent,False
fixed,0,screen_fixedstrength_tiny_max1_g20_o8_seed0,generation,7,0.207275390625,11.2890625,12.4453125,1,parent,False
fixed,0,screen_fixedstrength_tiny_max1_g20_o8_seed0,generation,8,0.2474365234375,,,1,quantization,True
fixed,0,screen_fixedstrength_tiny_max1_g20_o8_seed0,generation,9,0.245361328125,11.2890625,12.421875,1,quantization,True
fixed,0,screen_fixedstrength_tiny_max1_g20_o8_seed0,generation,10,0.243896484375,,,1,parent,False
fixed,0,screen_fixedstrength_tiny_max1_g20_o8_seed0,generation,11,0.2454833984375,11.2890625,12.421875,1,depth,True
fixed,0,screen_fixedstrength_tiny_max1_g20_o8_seed0,generation,12,0.18603515625,,,1,parent,False
fixed,0,screen_fixedstrength_tiny_max1_g20_o8_seed0,generation,13,0.21875,10.875,11.9453125,1,parent,False
fixed,0,screen_fixedstrength_tiny_max1_g20_o8_seed0,generation,14,0.223388671875,,,1,quantization,True
fixed,0,screen_fixedstrength_tiny_max1_g20_o8_seed0,generation,15,0.18603515625,10.875,11.9453125,1,parent,False
fixed,0,screen_fixedstrength_tiny_max1_g20_o8_seed0,generation,16,0.22607421875,,,1,quantization,True
fixed,0,screen_fixedstrength_tiny_max1_g20_o8_seed0,generation,17,0.223876953125,10.875,11.9453125,1,quantization,True
fixed,0,screen_fixedstrength_tiny_max1_g20_o8_seed0,generation,18,0.224609375,,,1,parent,False
fixed,0,screen_fixedstrength_tiny_max1_g20_o8_seed0,generation,19,0.2191162109375,10.8984375,11.921875,1,quantization,True
fixed,0,screen_fixedstrength_tiny_max1_g20_o8_seed0,generation,20,0.22265625,,,1,parent,False
fixed,0,screen_fixedstrength_tiny_max1_g20_o8_seed0,final,20,0.222900390625,10.921875,11.921875,,,
fixed,1,screen_fixedstrength_tiny_max1_g20_o8_seed1,generation,1,0.464599609375,14.328125,15.609375,1,quantization,True
fixed,1,screen_fixedstrength_tiny_max1_g20_o8_seed1,generation,2,0.55810546875,,,1,parent,False
fixed,1,screen_fixedstrength_tiny_max1_g20_o8_seed1,generation,3,0.4462890625,14.296875,15.5546875,1,depth,True
fixed,1,screen_fixedstrength_tiny_max1_g20_o8_seed1,generation,4,0.4189453125,,,1,depth,True
fixed,1,screen_fixedstrength_tiny_max1_g20_o8_seed1,generation,5,0.3935546875,12.84375,14.2421875,1,quantization,True
fixed,1,screen_fixedstrength_tiny_max1_g20_o8_seed1,generation,6,0.4638671875,,,1,parent,False
fixed,1,screen_fixedstrength_tiny_max1_g20_o8_seed1,generation,7,0.40478515625,12.84375,14.2421875,1,quantization,True
fixed,1,screen_fixedstrength_tiny_max1_g20_o8_seed1,generation,8,0.404541015625,,,1,parent,False
fixed,1,screen_fixedstrength_tiny_max1_g20_o8_seed1,generation,9,0.46435546875,12.8671875,14.2734375,1,depth,True
fixed,1,screen_fixedstrength_tiny_max1_g20_o8_seed1,generation,10,0.42529296875,,,1,depth,True
fixed,1,screen_fixedstrength_tiny_max1_g20_o8_seed1,generation,11,0.3427734375,12.28125,13.1953125,1,parent,False
fixed,1,screen_fixedstrength_tiny_max1_g20_o8_seed1,generation,12,0.3427734375,,,1,depth,True
fixed,1,screen_fixedstrength_tiny_max1_g20_o8_seed1,generation,13,0.3916015625,12.3515625,13.3828125,1,depth,True
fixed,1,screen_fixedstrength_tiny_max1_g20_o8_seed1,generation,14,0.347412109375,,,1,parent,False
fixed,1,screen_fixedstrength_tiny_max1_g20_o8_seed1,generation,15,0.33349609375,11.6953125,12.8671875,1,quantization,True
fixed,1,screen_fixedstrength_tiny_max1_g20_o8_seed1,generation,16,0.33056640625,,,1,depth,True
fixed,1,screen_fixedstrength_tiny_max1_g20_o8_seed1,generation,17,0.322265625,11.578125,12.46875,1,depth,True
fixed,1,screen_fixedstrength_tiny_max1_g20_o8_seed1,generation,18,0.265625,,,1,quantization,True
fixed,1,screen_fixedstrength_tiny_max1_g20_o8_seed1,generation,19,0.27734375,11.3359375,12.5703125,1,depth,True
fixed,1,screen_fixedstrength_tiny_max1_g20_o8_seed1,generation,20,0.266357421875,,,1,parent,False
fixed,1,screen_fixedstrength_tiny_max1_g20_o8_seed1,final,20,0.253662109375,11.03125,11.875,,,
fixed,2,screen_fixedstrength_tiny_max1_g20_o8_seed2,generation,1,0.36865234375,12.28125,13.96875,1,depth,True
fixed,2,screen_fixedstrength_tiny_max1_g20_o8_seed2,generation,2,0.31884765625,,,1,depth,True
fixed,2,screen_fixedstrength_tiny_max1_g20_o8_seed2,generation,3,0.236083984375,11.0078125,12.6640625,1,parent,False
fixed,2,screen_fixedstrength_tiny_max1_g20_o8_seed2,generation,4,0.236083984375,,,1,quantization,True
fixed,2,screen_fixedstrength_tiny_max1_g20_o8_seed2,generation,5,0.23388671875,11.0078125,12.640625,1,parent,False
fixed,2,screen_fixedstrength_tiny_max1_g20_o8_seed2,generation,6,0.219482421875,,,1,quantization,True
fixed,2,screen_fixedstrength_tiny_max1_g20_o8_seed2,generation,7,0.219482421875,11.0078125,12.640625,1,quantization,True
fixed,2,screen_fixedstrength_tiny_max1_g20_o8_seed2,generation,8,0.238525390625,,,1,parent,False
fixed,2,screen_fixedstrength_tiny_max1_g20_o8_seed2,generation,9,0.219970703125,11.0078125,12.640625,1,quantization,True
fixed,2,screen_fixedstrength_tiny_max1_g20_o8_seed2,generation,10,0.21923828125,,,1,parent,False
fixed,2,screen_fixedstrength_tiny_max1_g20_o8_seed2,generation,11,0.2333984375,11.0078125,12.6640625,1,quantization,True
fixed,2,screen_fixedstrength_tiny_max1_g20_o8_seed2,generation,12,0.234619140625,,,1,parent,False
fixed,2,screen_fixedstrength_tiny_max1_g20_o8_seed2,generation,13,0.23876953125,11.0078125,12.6640625,1,parent,False
fixed,2,screen_fixedstrength_tiny_max1_g20_o8_seed2,generation,14,0.22314453125,,,1,parent,False
fixed,2,screen_fixedstrength_tiny_max1_g20_o8_seed2,generation,15,0.234619140625,11.0078125,12.6640625,1,quantization,True
fixed,2,screen_fixedstrength_tiny_max1_g20_o8_seed2,generation,16,0.218994140625,,,1,quantization,True
fixed,2,screen_fixedstrength_tiny_max1_g20_o8_seed2,generation,17,0.224853515625,10.9609375,12.6640625,1,parent,False
fixed,2,screen_fixedstrength_tiny_max1_g20_o8_seed2,generation,18,0.2176513671875,,,1,parent,False
fixed,2,screen_fixedstrength_tiny_max1_g20_o8_seed2,generation,19,0.2176513671875,10.9609375,12.6640625,1,quantization,True
fixed,2,screen_fixedstrength_tiny_max1_g20_o8_seed2,generation,20,0.23876953125,,,1,parent,False
fixed,2,screen_fixedstrength_tiny_max1_g20_o8_seed2,final,20,0.2276611328125,10.9609375,12.6640625,,,
