date,run_id,method,model,sparsity_or_bits,generations,offspring,calibration_data,sequence_length,calibration_tokens,fitness_fn,attention_impl,dtype,seed,wikitext2_ppl,train_ppl,runtime_minutes,gpu_name,gpu_vram_gb,cpu_ram_limit_gb,status,notes,output_dir
2026-06-05,depth_tinyllama_s0.125_seed0,depth_evo_tiny,TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.125,10,8,wikitext2,1024,4096,kl,sdpa,float16,0,12.02,1.30e+01,9.25,Tesla T4,15.00,16.00,completed,last_successful_step=final_evaluation; dropped_attn_modules=2; dropped_mlp_modules=2,outputs/experiments/depth_tinyllama_s0.125_seed0
2026-06-05,depth_tinyllama_s0.25_seed0,depth_evo_tiny,TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.25,10,8,wikitext2,1024,4096,kl,sdpa,float16,0,42.59,4.52e+01,8.23,Tesla T4,15.00,16.00,completed,last_successful_step=final_evaluation; dropped_attn_modules=5; dropped_mlp_modules=5,outputs/experiments/depth_tinyllama_s0.25_seed0
2026-06-05,combined_tiny_depth0125_sparse50_uniform_seed0,combined_depth_sparse_eval,TinyLlama/TinyLlama-1.1B-Chat-v1.0,depth0.125+sparse0.50,,,,1024,,,sdpa,float16,0,11.97,,0.52,NVIDIA A40,44.99,16.00,completed,last_successful_step=final_evaluation; drop_layer_config=outputs/experiments/depth_tinyllama_s0.125_seed0/layer_drop_config.txt; sparse_weights_path=outputs/experiments/sparse_db_tinyllama_qproj_s0.50_retry1/sparse_db; sparse_config_path=none; sparse_default_level=0; quant_weights_path=none; quant_config_path=none; quant_default_level=0; eval_tokens=4096,outputs/experiments/combined_tiny_depth0125_sparse50_uniform_seed0
2026-06-05,combined_tiny_depth025_sparse50_uniform_seed0,combined_depth_sparse_eval,TinyLlama/TinyLlama-1.1B-Chat-v1.0,depth0.25+sparse0.50,,,,1024,,,sdpa,float16,0,43.19,,0.45,NVIDIA A40,44.99,16.00,completed,last_successful_step=final_evaluation; drop_layer_config=outputs/experiments/depth_tinyllama_s0.25_seed0/layer_drop_config.txt; sparse_weights_path=outputs/experiments/sparse_db_tinyllama_qproj_s0.50_retry1/sparse_db; sparse_config_path=none; sparse_default_level=0; quant_weights_path=none; quant_config_path=none; quant_default_level=0; eval_tokens=4096,outputs/experiments/combined_tiny_depth025_sparse50_uniform_seed0
2026-06-05,combined_tiny_depth0125_sparse_searchcfg_seed0,combined_depth_sparse_eval,TinyLlama/TinyLlama-1.1B-Chat-v1.0,depth0.125+sparse_search,,,,1024,,,sdpa,float16,0,11.92,,0.48,NVIDIA A40,44.99,16.00,completed,last_successful_step=final_evaluation; drop_layer_config=outputs/experiments/depth_tinyllama_s0.125_seed0/layer_drop_config.txt; sparse_weights_path=outputs/experiments/sparse_db_tinyllama_qproj_s0.50_retry1/sparse_db; sparse_config_path=results/runs/sparse_search_tinyllama_qproj_s0.50_g20_seed0_retry1/sparse_configuration.txt; sparse_default_level=0; quant_weights_path=none; quant_config_path=none; quant_default_level=0; eval_tokens=4096,outputs/experiments/combined_tiny_depth0125_sparse_searchcfg_seed0
2026-06-05,combined_tiny_depth025_sparse_searchcfg_seed0,combined_depth_sparse_eval,TinyLlama/TinyLlama-1.1B-Chat-v1.0,depth0.25+sparse_search,,,,1024,,,sdpa,float16,0,43.44,,0.47,NVIDIA A40,44.99,16.00,completed,last_successful_step=final_evaluation; drop_layer_config=outputs/experiments/depth_tinyllama_s0.25_seed0/layer_drop_config.txt; sparse_weights_path=outputs/experiments/sparse_db_tinyllama_qproj_s0.50_retry1/sparse_db; sparse_config_path=results/runs/sparse_search_tinyllama_qproj_s0.50_g20_seed0_retry1/sparse_configuration.txt; sparse_default_level=0; quant_weights_path=none; quant_config_path=none; quant_default_level=0; eval_tokens=4096,outputs/experiments/combined_tiny_depth025_sparse_searchcfg_seed0
2026-06-06,quant_db_tinyllama_qproj_bits234,quant_db,TinyLlama/TinyLlama-1.1B-Chat-v1.0,2 3 4,,,wikitext2,1024,4096,,sdpa,float16,0,,,1.43,NVIDIA A40,44.99,16.00,completed,last_successful_step=quant_database_generated; quantizable_modules=.*layers.*q_proj$; bitwidth_options=2 3 4; calibration_bitwidth=3; group_size=128; generated_module_dirs=22; generated_weight_files=66; missing_expected_weight_files=0; database_size_mb=529; max_cpu_memory_gb=9.96; max_gpu_memory_gb=1.06; quant_db_dir=outputs/experiments/quant_db_tinyllama_qproj_bits234/quant_db/TinyLlama-1.1B-Chat-v1.0/3bit,outputs/experiments/quant_db_tinyllama_qproj_bits234
2026-06-06,quant_search_tinyllama_qproj_3bit_g20_seed0,quant_search,TinyLlama/TinyLlama-1.1B-Chat-v1.0,3.0,20,8,wikitext2,1024,4096,kl,sdpa,float16,0,9.00,9.87,6.25,NVIDIA A40,44.99,16.00,completed,"last_successful_step=final_evaluation; quant_weights_path=outputs/experiments/quant_db_tinyllama_qproj_bits234/quant_db/TinyLlama-1.1B-Chat-v1.0/3bit; configuration_name=quant_search_tinyllama_qproj_3bit_g20_seed0_final_configuration.txt; target_bitwidth=3.0; actual_average_bitwidth=3.0000; final_search_point=[[2,2,2,2,3,3,3,3,4,3,3,4,3,3,3,4,3,3,3,3,3,4]]; max_cpu_memory_gb=6.47; max_gpu_memory_gb=2.81",outputs/experiments/quant_search_tinyllama_qproj_3bit_g20_seed0
2026-06-06,joint_tiny_depth0125_quant3_g10_seed0,combined_depth_quant_search,TinyLlama/TinyLlama-1.1B-Chat-v1.0,depth0.125+quant3.0,10,8,wikitext2,1024,4096,kl,sdpa,float16,0,11.03,12.09,3.25,NVIDIA A40,44.99,16.00,completed,last_successful_step=final_evaluation; quant_weights_path=outputs/experiments/quant_db_tinyllama_qproj_bits234/quant_db/TinyLlama-1.1B-Chat-v1.0/3bit; drop_sparsity=0.125; target_bitwidth=3.0; actual_average_bitwidth=3.0000e+00; dropped_attn_modules=2; dropped_mlp_modules=2; max_cpu_memory_gb=6.41; max_gpu_memory_gb=2.70,outputs/experiments/joint_tiny_depth0125_quant3_g10_seed0
2026-06-06,replay_joint_tiny_depth0125_quant3_seed0,combined_depth_quant_eval,TinyLlama/TinyLlama-1.1B-Chat-v1.0,depth0.125+quant3.0,,,,1024,,,sdpa,float16,0,11.03,,0.50,NVIDIA A40,44.99,16.00,completed,last_successful_step=final_evaluation; drop_layer_config=outputs/experiments/joint_tiny_depth0125_quant3_g10_seed0/joint_drop_config.txt; sparse_weights_path=none; sparse_config_path=none; sparse_default_level=0; quant_weights_path=outputs/experiments/quant_db_tinyllama_qproj_bits234/quant_db/TinyLlama-1.1B-Chat-v1.0/3bit; quant_config_path=outputs/experiments/joint_tiny_depth0125_quant3_g10_seed0/joint_quant_config.txt; quant_default_level=0; eval_tokens=4096,outputs/experiments/replay_joint_tiny_depth0125_quant3_seed0
